State,Year,Home_price,Rent,Income
OH,2017,356857,2603,62962
OH,2018,413948,3020,64066
OH,2019,412892,3012,65171
OH,2020,395773,2887,66276
OH,2021,387083,2824,67380
OH,2022,426803,3114,68485
OH,2023,539411,3935,69589
OH,2024,439766,3208,70694
GA,2010,669055,2395,48304
GA,2011,677482,2425,49270
GA,2012,696026,2491,50236
GA,2013,708947,2537,51202
GA,2014,770355,2757,52168
GA,2015,797817,2855,53134
GA,2016,732977,2623,54100
GA,2017,902800,3231,55066
GA,2018,779696,2791,56032
GA,2019,964497,3452,56998
GA,2020,845963,3028,57964
GA,2021,752380,2693,58930
GA,2022,860159,3079,59896
GA,2023,976728,3496,60863
GA,2024,1017763,3643,61829
NC,2010,398164,1629,83559
NC,2011,411585,1683,85230
NC,2012,408702,1672,86901
NC,2013,427770,1750,88572
NC,2014,429517,1757,90243
NC,2015,482028,1972,91914
NC,2016,466995,1910,93586
NC,2017,535673,2191,95257
NC,2018,480832,1967,96928
NC,2019,551025,2254,98599
NC,2020,565129,2312,100270
NC,2021,468366,1916,101941
NC,2022,543069,2221,103613
NC,2023,593990,2430,105284
NC,2024,645296,2640,106955
MI,2010,313883,1854,51546
MI,2011,327185,1932,52576
MI,2012,328915,1942,53607
MI,2013,326922,1931,54638
MI,2014,373672,2207,55669
MI,2015,354535,2094,56700
MI,2016,371719,2195,57731
MI,2017,409478,2418,58762
MI,2018,406861,2403,59793
MI,2019,425210,2511,60824
MI,2020,371520,2194,61855
MI,2021,423188,2499,62886
MI,2022,456378,2695,63917
MI,2023,391991,2315,64947
MI,2024,388579,2295,65978
NJ,2010,663951,1916,61371
NJ,2011,677013,1953,62598
NJ,2012,682175,1968,63825
NJ,2013,755354,2179,65053
NJ,2014,786162,2268,66280
NJ,2015,781218,2254,67508
NJ,2016,757811,2186,68735
NJ,2017,775347,2237,69962
NJ,2018,871306,2514,71190
NJ,2019,938136,2707,72417
NJ,2020,965938,2787,73645
NJ,2021,964817,2784,74872
NJ,2022,948238,2736,76100
NJ,2023,779314,2248,77327
NJ,2024,816999,2357,78554
VA,2010,681157,1003,47557
VA,2011,714497,1052,48508
VA,2012,710251,1045,49459
VA,2013,726551,1069,50410
VA,2014,761327,1121,51361
VA,2015,776304,1143,52312
VA,2016,884598,1302,53263
VA,2017,762391,1122,54214
VA,2018,739589,1089,55166
VA,2019,863572,1271,56117
VA,2020,797995,1175,57068
VA,2021,865918,1275,58019
VA,2022,1006206,1481,58970
VA,2023,1025065,1509,59921
VA,2024,894028,1316,60872
AZ,2010,436687,1359,86914
AZ,2011,445686,1387,88652
AZ,2012,453944,1412,90390
AZ,2013,500775,1558,92128
AZ,2014,481620,1498,93867
AZ,2015,536430,1669,95605
AZ,2016,529034,1646,97343
AZ,2017,564438,1756,99081
AZ,2018,541860,1686,100820
AZ,2019,566682,1763,102558
AZ,2020,566386,1762,104296
AZ,2021,522237,1625,106035
AZ,2022,640522,1993,107773
AZ,2023,557213,1734,109511
AZ,2024,503769,1567,111249
MA,2010,551760,2435,53208
MA,2011,567649,2505,54272
MA,2012,575135,2538,55336
MA,2013,626809,2766,56400
MA,2014,639840,2823,57464
MA,2015,684521,3020,58528
MA,2016,628664,2774,59592
MA,2017,675781,2982,60657
MA,2018,696946,3075,61721
MA,2019,796145,3513,62785
MA,2020,623565,2751,63849
MA,2021,686669,3030,64913
MA,2022,668532,2950,65977
MA,2023,700518,3091,67042
MA,2024,778950,3437,68106
TN,2010,206641,1465,45569
TN,2011,209289,1483,46480
TN,2012,214227,1518,47391
TN,2013,229482,1626,48303
TN,2014,226764,1607,49214
TN,2015,227477,1612,50125
TN,2016,233684,1656,51037
TN,2017,239768,1699,51948
TN,2018,279290,1980,52860
TN,2019,235402,1668,53771
TN,2020,285901,2026,54682
TN,2021,279635,1982,55594
TN,2022,260848,1849,56505
TN,2023,278611,1975,57416
TN,2024,265218,1880,58328
IN,2010,452791,1424,68355
IN,2011,466402,1466,69722
IN,2012,490763,1543,71089
IN,2013,501690,1577,72456
IN,2014,521757,1640,73823
IN,2015,547496,1721,75190
IN,2016,576675,1813,76557
IN,2017,527337,1658,77924
IN,2018,543433,1709,79291
IN,2019,508861,1600,80658
IN,2020,602806,1895,82026
IN,2021,509758,1603,83393
IN,2022,608318,1913,84760
IN,2023,639420,2010,86127
IN,2024,588837,1851,87494
MO,2010,235609,1469,76024
MO,2011,245717,1532,77544
MO,2012,247110,1540,79064
MO,2013,246269,1535,80585
MO,2014,264720,1650,82105
MO,2015,283672,1768,83626
MO,2016,261949,1633,85146
MO,2017,293194,1828,86667
MO,2018,260892,1626,88187
MO,2019,261197,1628,89708
MO,2020,309246,1928,91228
MO,2021,317572,1980,92749
MO,2022,335970,2094,94269
MO,2023,355196,2214,95790
MO,2024,397349,2477,97310
MD,2010,459163,2029,63077
MD,2011,471079,2081,64338
MD,2012,484270,2139,65600
MD,2013,513934,2271,66861
MD,2014,495959,2191,68123
MD,2015,499048,2205,69384
MD,2016,495624,2190,70646
MD,2017,546370,2414,71907
MD,2018,597058,2638,73169
MD,2019,510106,2254,74430
MD,2020,673172,2974,75692
MD,2021,599040,2647,76953
MD,2022,567111,2506,78215
MD,2023,541267,2391,79477
MD,2024,570466,2520,80738
WI,2010,367628,1796,48343
WI,2011,380967,1861,49309
WI,2012,387793,1894,50276
WI,2013,410862,2007,51243
WI,2014,385139,1881,52210
WI,2015,427627,2089,53177
WI,2016,403683,1972,54144
WI,2017,405731,1982,55111
WI,2018,437257,2136,56077
WI,2019,412863,2016,57044
WI,2020,418236,2043,58011
WI,2021,458440,2239,58978
WI,2022,584589,2855,59945
WI,2023,448936,2193,60912
WI,2024,422628,2064,61879
CO,2010,432377,1331,74222
CO,2011,444737,1369,75706
CO,2012,463500,1426,77190
CO,2013,447841,1378,78675
CO,2014,515334,1586,80159
CO,2015,530671,1633,81644
CO,2016,485392,1494,83128
CO,2017,464496,1429,84613
CO,2018,596118,1835,86097
CO,2019,549280,1690,87581
CO,2020,568900,1751,89066
CO,2021,610059,1877,90550
CO,2022,612076,1884,92035
CO,2023,700806,2157,93519
CO,2024,721542,2221,95004
MN,2010,229115,1795,67687
MN,2011,236680,1854,69040
MN,2012,240812,1886,70394
MN,2013,253674,1987,71748
MN,2014,255078,1998,73101
MN,2015,265572,2080,74455
MN,2016,294630,2308,75809
MN,2017,269922,2114,77163
MN,2018,317915,2490,78516
MN,2019,324409,2541,79870
MN,2020,269969,2115,81224
MN,2021,261310,2047,82578
MN,2022,267691,2097,83931
MN,2023,261070,2045,85285
MN,2024,273308,2141,86639
SC,2010,280386,1626,72472
SC,2011,287512,1667,73921
SC,2012,301282,1747,75370
SC,2013,300258,1741,76820
SC,2014,303296,1758,78269
SC,2015,322221,1868,79719
SC,2016,343835,1993,81168
SC,2017,327360,1898,82618
SC,2018,386856,2243,84067
SC,2019,309576,1795,85516
SC,2020,355299,2060,86966
SC,2021,430598,2497,88415
SC,2022,387781,2248,89865
SC,2023,378578,2195,91314
SC,2024,408906,2371,92764
AL,2010,690690,2022,65463
AL,2011,704504,2062,66772
AL,2012,736581,2156,68081
AL,2013,783279,2293,69390
AL,2014,780409,2284,70700
AL,2015,758183,2219,72009
AL,2016,844826,2473,73318
AL,2017,882131,2582,74627
AL,2018,798600,2337,75937
AL,2019,846773,2478,77246
AL,2020,907380,2656,78555
AL,2021,917572,2686,79864
AL,2022,902743,2642,81174
AL,2023,887377,2597,82483
AL,2024,826059,2418,83792
LA,2010,259459,1295,52400
LA,2011,265736,1326,53448
LA,2012,284508,1420,54496
LA,2013,288314,1439,55544
LA,2014,289868,1446,56592
LA,2015,298015,1487,57640
LA,2016,280212,1398,58688
LA,2017,284283,1418,59736
LA,2018,330234,1648,60783
LA,2019,334529,1669,61832
LA,2020,307482,1534,62880
LA,2021,396018,1976,63928
LA,2022,387896,1936,64976
LA,2023,308497,1539,66024
LA,2024,431044,2151,67072
KY,2010,201689,1834,67925
KY,2011,207267,1884,69283
KY,2012,220045,2000,70642
KY,2013,216232,1966,72000
KY,2014,213534,1941,73359
KY,2015,217541,1978,74717
KY,2016,250651,2279,76076
KY,2017,250719,2279,77434
KY,2018,224350,2040,78793
KY,2019,225947,2054,80151
KY,2020,278409,2531,81510
KY,2021,230332,2094,82868
KY,2022,305456,2777,84227
KY,2023,301978,2745,85585
KY,2024,239113,2174,86944
OR,2010,699332,2345,71962
OR,2011,730470,2449,73401
OR,2012,762571,2557,74840
OR,2013,740174,2481,76279
OR,2014,828869,2779,77718
OR,2015,817083,2739,79158
OR,2016,800072,2682,80597
OR,2017,886956,2974,82036
OR,2018,863069,2894,83475
OR,2019,857433,2875,84915
OR,2020,966500,3240,86354
OR,2021,852792,2859,87793
OR,2022,894110,2998,89232
OR,2023,948234,3179,90672
OR,2024,896586,3006,92111
OK,2010,397841,2143,48709
OK,2011,403710,2174,49683
OK,2012,409538,2206,50657
OK,2013,440770,2374,51631
OK,2014,461243,2484,52605
OK,2015,464150,2500,53579
OK,2016,513581,2766,54554
OK,2017,467448,2517,55528
OK,2018,466042,2510,56502
OK,2019,558049,3005,57476
OK,2020,473207,2548,58450
OK,2021,610215,3286,59424
OK,2022,447902,2412,60399
OK,2023,650206,3502,61373
OK,2024,463154,2494,62347
CT,2010,308148,979,72509
CT,2011,322558,1024,73959
CT,2012,320547,1018,75409
CT,2013,343107,1090,76859
CT,2014,324193,1029,78309
CT,2015,333799,1060,79759
CT,2016,342671,1088,81210
CT,2017,355127,1128,82660
CT,2018,430996,1369,84110
CT,2019,413193,1312,85560
CT,2020,386319,1227,87010
CT,2021,441984,1404,88460
CT,2022,480501,1526,89911
CT,2023,501826,1594,91361
CT,2024,361273,1147,92811
UT,2010,663685,1871,68959
UT,2011,677685,1910,70338
UT,2012,686946,1936,71717
UT,2013,720525,2031,73096
UT,2014,727754,2051,74475
UT,2015,774342,2182,75854
UT,2016,715888,2018,77234
UT,2017,891216,2512,78613
UT,2018,926230,2611,79992
UT,2019,890226,2509,81371
UT,2020,872373,2459,82750
UT,2021,827079,2331,84129
UT,2022,1002576,2826,85509
UT,2023,986275,2780,86888
UT,2024,817039,2303,88267
IA,2010,345421,2470,50713
IA,2011,356905,2552,51727
IA,2012,377729,2701,52741
IA,2013,359213,2568,53755
IA,2014,407688,2915,54770
IA,2015,400798,2865,55784
IA,2016,379811,2715,56798
IA,2017,409376,2927,57812
IA,2018,459006,3282,58827
IA,2019,436243,3119,59841
IA,2020,516098,3690,60855
IA,2021,440676,3151,61869
IA,2022,511153,3655,62884
IA,2023,460914,3295,63898
IA,2024,554169,3962,64912
NV,2010,659920,2384,65384
NV,2011,677469,2447,66691
NV,2012,687552,2483,67999
NV,2013,684181,2471,69307
NV,2014,777620,2809,70614
NV,2015,800205,2890,71922
NV,2016,857851,3099,73230
NV,2017,890270,3216,74537
NV,2018,830006,2998,75845
NV,2019,902002,3258,77153
NV,2020,975299,3523,78460
NV,2021,979218,3537,79768
NV,2022,817460,2953,81076
NV,2023,900317,3252,82383
NV,2024,800040,2890,83691
AR,2010,487250,1584,62100
AR,2011,509239,1655,63342
AR,2012,526502,1711,64584
AR,2013,504609,1640,65826
AR,2014,527685,1715,67068
AR,2015,513774,1670,68310
AR,2016,574740,1868,69552
AR,2017,586326,1906,70794
AR,2018,655857,2132,72036
AR,2019,585089,1902,73278
AR,2020,695088,2259,74520
AR,2021,748371,2432,75762
AR,2022,566396,1841,77004
AR,2023,751215,2442,78246
AR,2024,716440,2329,79488
MS,2010,461342,2226,60254
MS,2011,477402,2303,61459
MS,2012,496554,2395,62664
MS,2013,486972,2349,63869
MS,2014,489861,2363,65074
MS,2015,485751,2343,66279
MS,2016,527840,2546,67484
MS,2017,569839,2749,68689
MS,2018,556156,2683,69894
MS,2019,575519,2776,71099
MS,2020,674326,3253,72304
MS,2021,582782,2811,73509
MS,2022,630523,3042,74714
MS,2023,709313,3422,75920
MS,2024,628377,3031,77125
KS,2010,250390,2029,88088
KS,2011,254366,2061,89849
KS,2012,273958,2219,91611
KS,2013,272688,2209,93373
KS,2014,270751,2193,95135
KS,2015,285902,2316,96896
KS,2016,324307,2627,98658
KS,2017,302454,2450,100420
KS,2018,296762,2404,102182
KS,2019,330020,2674,103943
KS,2020,299481,2426,105705
KS,2021,286290,2319,107467
KS,2022,295926,2397,109229
KS,2023,299612,2427,110990
KS,2024,306744,2485,112752
NM,2010,322709,2443,87679
NM,2011,337222,2552,89432
NM,2012,342464,2592,91186
NM,2013,370074,2801,92939
NM,2014,366697,2776,94693
NM,2015,353292,2674,96446
NM,2016,405719,3071,98200
NM,2017,376479,2850,99954
NM,2018,384423,2910,101707
NM,2019,355447,2690,103461
NM,2020,425810,3223,105214
NM,2021,434090,3286,106968
NM,2022,416577,3153,108721
NM,2023,514718,3896,110475
NM,2024,391155,2961,112229
NE,2010,271865,1996,68321
NE,2011,281411,2066,69687
NE,2012,279080,2048,71053
NE,2013,308520,2265,72420
NE,2014,322796,2369,73786
NE,2015,288779,2120,75153
NE,2016,306242,2248,76519
NE,2017,352265,2586,77885
NE,2018,358710,2633,79252
NE,2019,314392,2308,80618
NE,2020,321817,2362,81985
NE,2021,346086,2540,83351
NE,2022,367716,2699,84718
NE,2023,394610,2897,86084
NE,2024,366091,2687,87450
WV,2010,224247,2309,61748
WV,2011,227814,2345,62982
WV,2012,231120,2379,64217
WV,2013,249465,2568,65452
WV,2014,263515,2713,66687
WV,2015,269079,2770,67922
WV,2016,239341,2464,69157
WV,2017,294395,3031,70392
WV,2018,267599,2755,71627
WV,2019,276491,2846,72862
WV,2020,256078,2636,74097
WV,2021,321672,3312,75332
WV,2022,270777,2788,76567
WV,2023,319162,3286,77802
WV,2024,361216,3719,79037
ID,2010,579445,2397,49632
ID,2011,598997,2477,50624
ID,2012,622514,2575,51617
ID,2013,651702,2695,52609
ID,2014,648833,2684,53602
ID,2015,618490,2558,54595
ID,2016,688905,2849,55587
ID,2017,715217,2958,56580
ID,2018,764021,3160,57573
ID,2019,721639,2985,58565
ID,2020,666959,2759,59558
ID,2021,715534,2959,60551
ID,2022,749963,3102,61543
ID,2023,849395,3513,62536
ID,2024,845778,3498,63528
HI,2010,255703,1214,62260
HI,2011,267809,1271,63505
HI,2012,260971,1239,64750
HI,2013,270288,1283,65995
HI,2014,280878,1333,67240
HI,2015,293435,1393,68486
HI,2016,323258,1534,69731
HI,2017,279894,1328,70976
HI,2018,342099,1624,72221
HI,2019,283839,1347,73466
HI,2020,367426,1744,74712
HI,2021,289639,1375,75957
HI,2022,288626,1370,77202
HI,2023,381616,1811,78447
HI,2024,434302,2061,79692
NH,2010,196389,2245,86427
NH,2011,205151,2345,88155
NH,2012,213153,2436,89884
NH,2013,208358,2381,91612
NH,2014,209614,2396,93341
NH,2015,232471,2657,95069
NH,2016,251976,2880,96798
NH,2017,240752,2752,98526
NH,2018,248022,2835,100255
NH,2019,233858,2673,101983
NH,2020,276475,3160,103712
NH,2021,234154,2676,105440
NH,2022,250467,2863,107169
NH,2023,265366,3033,108898
NH,2024,279709,3197,110626
ME,2010,610192,1039,47048
ME,2011,623338,1061,47988
ME,2012,650769,1108,48929
ME,2013,639800,1089,49870
ME,2014,681573,1160,50811
ME,2015,705697,1201,51752
ME,2016,654392,1114,52693
ME,2017,710415,1209,53634
ME,2018,685253,1166,54575
ME,2019,679030,1156,55516
ME,2020,912837,1554,56457
ME,2021,763860,1300,57398
ME,2022,920620,1567,58339
ME,2023,770314,1311,59280
ME,2024,928493,1580,60221
RI,2010,592432,1676,72534
RI,2011,608115,1720,73984
RI,2012,620815,1756,75435
RI,2013,676286,1913,76886
RI,2014,694862,1965,78336
RI,2015,736396,2083,79787
RI,2016,645650,1826,81238
RI,2017,755139,2136,82688
RI,2018,817715,2313,84139
RI,2019,684403,1936,85590
RI,2020,667433,1888,87040
RI,2021,850787,2406,88491
RI,2022,826885,2339,89942
RI,2023,928785,2627,91392
RI,2024,721743,2041,92843
MT,2010,615048,2152,75523
MT,2011,625239,2187,77033
MT,2012,667429,2335,78543
MT,2013,682594,2388,80054
MT,2014,691123,2418,81564
MT,2015,689939,2414,83075
MT,2016,781435,2734,84585
MT,2017,725685,2539,86096
MT,2018,824971,2886,87606
MT,2019,767634,2685,89117
MT,2020,769288,2691,90627
MT,2021,807914,2826,92138
MT,2022,777827,2721,93648
MT,2023,934108,3268,95158
MT,2024,874305,3059,96669
DE,2010,330168,1044,79016
DE,2011,340493,1076,80596
DE,2012,338530,1070,82176
DE,2013,349147,1104,83756
DE,2014,372051,1176,85337
DE,2015,375171,1186,86917
DE,2016,376350,1190,88497
DE,2017,420816,1330,90078
DE,2018,429875,1359,91658
DE,2019,379700,1200,93238
DE,2020,479222,1515,94819
DE,2021,438458,1386,96399
DE,2022,487295,1540,97979
DE,2023,471492,1490,99560
DE,2024,560858,1773,101140
SD,2010,539864,2020,89028
SD,2011,561327,2100,90808
SD,2012,552109,2065,92589
SD,2013,592979,2218,94369
SD,2014,627318,2347,96150
SD,2015,661524,2475,97930
SD,2016,616578,2307,99711
SD,2017,701797,2625,101491
SD,2018,602165,2253,103272
SD,2019,752960,2817,105053
SD,2020,621381,2325,106833
SD,2021,693620,2595,108614
SD,2022,811254,3035,110394
SD,2023,652132,2440,112175
SD,2024,684753,2562,113955
ND,2010,543339,1029,61478
ND,2011,561062,1062,62707
ND,2012,585336,1108,63937
ND,2013,598696,1133,65166
ND,2014,636949,1206,66396
ND,2015,674726,1277,67625
ND,2016,620604,1175,68855
ND,2017,615960,1166,70084
ND,2018,660456,1250,71314
ND,2019,648559,1228,72544
ND,2020,731323,1385,73773
ND,2021,821102,1555,75003
ND,2022,644821,1221,76232
ND,2023,642451,1216,77462
ND,2024,697304,1320,78691
AK,2010,271751,1727,72306
AK,2011,280611,1783,73752
AK,2012,292331,1857,75198
AK,2013,309986,1969,76644
AK,2014,313371,1991,78090
AK,2015,293629,1866,79536
AK,2016,325641,2069,80982
AK,2017,336938,2141,82428
AK,2018,330373,2099,83874
AK,2019,368255,2340,85321
AK,2020,400492,2545,86767
AK,2021,412314,2620,88213
AK,2022,363168,2307,89659
AK,2023,323080,2053,91105
AK,2024,459669,2921,92551
VT,2010,312717,1319,64256
VT,2011,319739,1348,65541
VT,2012,324660,1369,66826
VT,2013,344910,1454,68111
VT,2014,344204,1451,69396
VT,2015,374900,1581,70681
VT,2016,346909,1463,71966
VT,2017,403586,1702,73251
VT,2018,398148,1679,74536
VT,2019,353725,1491,75822
VT,2020,395837,1669,77107
VT,2021,465932,1965,78392
VT,2022,488783,2061,79677
VT,2023,429099,1809,80962
VT,2024,440702,1858,82247
WY,2010,694394,2452,51783
WY,2011,713904,2520,52818
WY,2012,716106,2528,53854
WY,2013,729923,2577,54889
WY,2014,777539,2745,55925
WY,2015,787293,2780,56961
WY,2016,888520,3137,57996
WY,2017,813461,2872,59032
WY,2018,878955,3103,60068
WY,2019,914944,3230,61103
WY,2020,767470,2710,62139
WY,2021,973510,3437,63175
WY,2022,837062,2955,64210
WY,2023,1131693,3996,65246
WY,2024,849418,2999,66282
